title,artist,album,genre,duration,file_path,cover_image,lyrics,lyrics_type,released_date,is_vip,status,listens,mood_tags,activity_tags,topic_tags
Một thời đã xa,Phương Thanh,,Pop,300,songs/custom/001_mot_thoi_da_xa.mp3,covers/songs/custom/001_mot_thoi_da_xa.jpg,,plain,2000-01-01,0,published,0,buon;tam-trang,ngu,ky-uc
Tình xa khuất,Phương Thanh,,Pop,354,songs/custom/002_tinh_xa_khuat.mp3,covers/songs/custom/002_tinh_xa_khuat.jpg,,plain,1998-05-20,0,published,0,buon;lang-man,lam-viec,chia-tay
Trống vắng,Phương Thanh,,Rock,321,songs/custom/003_trong_vang.mp3,covers/songs/custom/003_trong_vang.jpg,,plain,1997-10-10,0,published,0,energetic;tam-trang,lai-xe,ky-uc
Lang thang,Phương Thanh,,Pop,357,songs/custom/004_lang_thang.mp3,covers/songs/custom/004_lang_thang.jpg,,plain,1997-12-01,0,published,0,buon;thu-gian,chay-bo,cuoc-song
Tình cờ,Phương Thanh,,Pop,213,songs/custom/005_tinh_co.mp3,covers/songs/custom/005_tinh_co.jpg,,plain,1999-03-15,0,published,0,vui-ve;lang-man,hoc-tap,tinh-yeu
Tình 2000,Phương Thanh,,Pop,342,songs/custom/006_tinh_2000.mp3,covers/songs/custom/006_tinh_2000.jpg,,plain,2000-01-01,0,published,0,energetic;vui-ve,tiec-tung,tuoi-tre
Chia tay trong mưa,Phương Thanh,,Ballad,278,songs/custom/007_chia_tay_trong_mua.mp3,covers/songs/custom/007_chia_tay_trong_mua.jpg,,plain,1998-08-20,0,published,0,buon;tam-trang,ngu,chia-tay
Đêm đông lao xao,Phương Thanh,,Pop,330,songs/custom/008_dem_dong_lao_xao.mp3,covers/songs/custom/008_dem_dong_lao_xao.jpg,,plain,2001-11-15,0,published,0,thu-gian;lang-man,hoc-tap,ky-uc
Giã từ dĩ vãng,Phương Thanh,,Ballad,210,songs/custom/009_gia_tu_di_vang.mp3,covers/songs/custom/009_gia_tu_di_vang.jpg,,plain,1997-09-05,0,published,0,buon;tam-trang,ngu,ky-uc
Mưa tình yêu,Phương Thanh,,Pop,218,songs/custom/010_mua_tinh_yeu.mp3,covers/songs/custom/010_mua_tinh_yeu.jpg,,plain,2002-06-10,0,published,0,lang-man;vui-ve,lam-viec,tinh-yeu
Dạ khúc buồn,Phương Thanh,,Ballad,341,songs/custom/011_da_khuc_buon.mp3,covers/songs/custom/011_da_khuc_buon.jpg,,plain,2001-04-12,0,published,0,buon;tam-trang,ngu,chia-tay
Ta chẳng còn ai,Phương Thanh,,Ballad,294,songs/custom/012_ta_chang_con_ai.mp3,covers/songs/custom/012_ta_chang_con_ai.jpg,,plain,1997-12-25,0,published,0,buon;tam-trang,lam-viec,chia-tay
Hãy để em ra đi,Phương Thanh,,Pop,293,songs/custom/013_hay_de_em_ra_di.mp3,covers/songs/custom/013_hay_de_em_ra_di.jpg,,plain,2003-02-14,0,published,0,buon;hao-hung,tap-gym,chia-tay
Khi giấc mơ về,Phương Thanh,,Ballad,280,songs/custom/014_khi_giac_mo_ve.mp3,covers/songs/custom/014_khi_giac_mo_ve.jpg,,plain,2002-10-20,0,published,0,buon;lang-man,ngu,ky-uc
Liều thuốc cho trái tim,Lý Hải,,Pop,215,songs/custom/015_lieu_thuoc_cho_trai_tim.mp3,covers/songs/custom/015_lieu_thuoc_cho_trai_tim.jpg,,plain,2001-01-01,0,published,0,buon;tam-trang,lai-xe,tinh-yeu
Hoài mong,Lý Hải,,Pop,253,songs/custom/016_hoai_mong.mp3,covers/songs/custom/016_hoai_mong.jpg,,plain,2002-05-10,0,published,0,buon;lang-man,hoc-tap,chia-tay
Nỗi đau chạm vào trái tim,Lý Hải,,Ballad,231,songs/custom/017_noi_dau_cham_vao_trai_tim.mp3,covers/songs/custom/017_noi_dau_cham_vao_trai_tim.jpg,,plain,2010-08-15,0,published,0,buon;tam-trang,ngu,chia-tay
Vị trí nào cho anh,Lý Hải,,Ballad,289,songs/custom/018_vi_tri_nao_cho_anh.mp3,covers/songs/custom/018_vi_tri_nao_cho_anh.jpg,,plain,2011-03-20,0,published,0,buon;tam-trang,lam-viec,chia-tay
Anh mới chính là người em yêu,Lý Hải,,Pop,233,songs/custom/019_anh_moi_chinh_la_nguoi_em_yeu.mp3,covers/songs/custom/019_anh_moi_chinh_la_nguoi_em_yeu.jpg,,plain,2004-09-12,0,published,0,buon;hao-hung,lai-xe,tinh-yeu
Giáng trần,Lý Hải,,Pop,260,songs/custom/020_giang_tran.mp3,covers/songs/custom/020_giang_tran.jpg,,plain,2005-12-01,0,published,0,vui-ve;energetic,tiec-tung,cuoc-song
Ba má miền tây,Lý Hải,,Pop,276,songs/custom/021_ba_ma_mien_tay.mp3,covers/songs/custom/021_ba_ma_mien_tay.jpg,,plain,2015-01-10,0,published,0,vui-ve;hao-hung,lai-xe,que-huong
Dệt mộng uyên ương,Lý Hải,,Pop,258,songs/custom/022_det_mong_uyen_uong.mp3,covers/songs/custom/022_det_mong_uyen_uong.jpg,,plain,2003-06-18,0,published,0,lang-man;vui-ve,hoc-tap,tinh-yeu
Hẹn ước từ hư vô,Mỹ Tâm,,Pop,245,songs/custom/023_hen_uoc_tu_hu_vo.mp3,covers/songs/custom/023_hen_uoc_tu_hu_vo.jpg,,plain,2022-02-14,0,published,0,lang-man;thu-gian,lam-viec,tinh-yeu
Đừng hỏi em,Mỹ Tâm,,Ballad,261,songs/custom/024_dung_hoi_em.mp3,covers/songs/custom/024_dung_hoi_em.jpg,,plain,2017-10-15,0,published,0,buon;tam-trang,ngu,chia-tay
Chuyện như chưa bắt đầu,Mỹ Tâm,,Ballad,282,songs/custom/025_chuyen_nhu_chua_bat_dau.mp3,covers/songs/custom/025_chuyen_nhu_chua_bat_dau.jpg,,plain,2012-06-08,0,published,0,buon;lang-man,hoc-tap,chia-tay
Dường như ta đã,Mỹ Tâm,,Ballad,336,songs/custom/026_duong_nhu_ta_da.mp3,covers/songs/custom/026_duong_nhu_ta_da.jpg,,plain,2006-09-20,0,published,0,buon;tam-trang,ngu,chia-tay
Muộn màng là từ lúc,Mỹ Tâm,,Ballad,238,songs/custom/027_muon_mang_la_tu_luc.mp3,covers/songs/custom/027_muon_mang_la_tu_luc.jpg,,plain,2017-12-03,0,published,0,buon;thu-gian,lam-viec,chia-tay
Nếu anh đi,Mỹ Tâm,,Ballad,251,songs/custom/028_neu_anh_di.mp3,covers/songs/custom/028_neu_anh_di.jpg,,plain,2017-12-03,0,published,0,buon;tam-trang,ngu,chia-tay
Anh đợi em được không,Mỹ Tâm,,Pop,280,songs/custom/029_anh_doi_em_duoc_khong.mp3,covers/songs/custom/029_anh_doi_em_duoc_khong.jpg,,plain,2019-09-24,0,published,0,lang-man;buon,hoc-tap,tinh-yeu
Đúng cũng thành sai thôi,Mỹ Tâm,,Pop,298,songs/custom/030_dung_cung_thanh_sai_thoi.mp3,covers/songs/custom/030_dung_cung_thanh_sai_thoi.jpg,,plain,2020-09-29,0,published,0,tam-trang;buon,lam-viec,tinh-yeu
Nơi mình dừng chân,Mỹ Tâm,,Ballad,254,songs/custom/031_noi_minh_dung_chan.mp3,covers/songs/custom/031_noi_minh_dung_chan.jpg,,plain,2019-01-04,0,published,0,buon;tam-trang,ngu,chia-tay
Như một giấc mơ,Mỹ Tâm,,Ballad,279,songs/custom/032_nhu_mot_giac_mo.mp3,covers/songs/custom/032_nhu_mot_giac_mo.jpg,,plain,2013-03-24,0,published,0,buon;tam-trang,ngu,chia-tay
Đâu chỉ riêng em,Mỹ Tâm,,Ballad,237,songs/custom/033_dau_chi_rieng_em.mp3,covers/songs/custom/033_dau_chi_rieng_em.jpg,,plain,2017-07-26,0,published,0,buon;tam-trang,hoc-tap,chia-tay
Người hãy quên em đi,Mỹ Tâm,,Pop,274,songs/custom/034_nguoi_hay_quen_em_di.mp3,covers/songs/custom/034_nguoi_hay_quen_em_di.jpg,,plain,2017-12-03,0,published,0,vui-ve;thu-gian,tiec-tung,chia-tay
Vì em quá yêu anh,Mỹ Tâm,,Pop,278,songs/custom/035_vi_em_qua_yeu_anh.mp3,covers/songs/custom/035_vi_em_qua_yeu_anh.jpg,,plain,2013-04-08,0,published,0,vui-ve;energetic,chay-bo,tinh-yeu
Hát với dòng sông,Mỹ Tâm,,Pop,287,songs/custom/036_hat_voi_dong_song.mp3,covers/songs/custom/036_hat_voi_dong_song.jpg,,plain,2002-05-15,0,published,0,thu-gian;lang-man,lai-xe,ky-uc
Cây đàn sinh viên,Mỹ Tâm,,Pop,280,songs/custom/037_cay_dan_sinh_vien.mp3,covers/songs/custom/037_cay_dan_sinh_vien.jpg,,plain,2001-12-20,0,published,0,vui-ve;thu-gian,hoc-tap,tuoi-tre
Nếu có buông tay,Mỹ Tâm,,Ballad,253,songs/custom/038_neu_co_buong_tay.mp3,covers/songs/custom/038_neu_co_buong_tay.jpg,,plain,2017-12-03,0,published,0,buon;tam-trang,ngu,chia-tay
Biết khi nào gặp lại,Mỹ Tâm,,Ballad,246,songs/custom/039_biet_khi_nao_gap_lai.mp3,covers/songs/custom/039_biet_khi_nao_gap_lai.jpg,,plain,2013-03-24,0,published,0,buon;lang-man,lam-viec,chia-tay
Cơn mưa băng giá,Bằng Kiều,,Ballad,298,songs/custom/040_con_mua_bang_gia.mp3,covers/songs/custom/040_con_mua_bang_gia.jpg,,plain,2016-01-10,0,published,0,buon;lang-man,ngu,tinh-yeu
Trái tim bên lề,Bằng Kiều,,Ballad,314,songs/custom/041_trai_tim_ben_le.mp3,covers/songs/custom/041_trai_tim_ben_le.jpg,,plain,2000-05-20,0,published,0,buon;tam-trang,lam-viec,tinh-yeu
Để nhớ một thời ta đã yêu,Bằng Kiều,,Ballad,374,songs/custom/042_de_nho_mot_thoi_ta_da_yeu.mp3,covers/songs/custom/042_de_nho_mot_thoi_ta_da_yeu.jpg,,plain,2012-08-15,0,published,0,buon;lang-man,lai-xe,ky-uc
Lạy Phật Quan Âm,Phương Mỹ Chi,,Pop,291,songs/custom/043_lay_phat_quan_am.mp3,covers/songs/custom/043_lay_phat_quan_am.jpg,,plain,2015-04-15,0,published,0,thu-gian;vui-ve,yoga,cuoc-song
Liên hoa,Phương Mỹ Chi,,Pop,265,songs/custom/044_lien_hoa.mp3,covers/songs/custom/044_lien_hoa.jpg,,plain,2023-09-20,0,published,0,thu-gian;hao-hung,yoga,cuoc-song
Nghìn mắt nghìn tay,Phương Mỹ Chi,,Pop,338,songs/custom/045_nghin_mat_nghin_tay.mp3,covers/songs/custom/045_nghin_mat_nghin_tay.jpg,,plain,2023-09-20,0,published,0,thu-gian;hao-hung,yoga,cuoc-song
Mẹ từ bi,Phương Mỹ Chi,,Pop,365,songs/custom/046_me_tu_bi.mp3,covers/songs/custom/046_me_tu_bi.jpg,,plain,2015-05-20,0,published,0,thu-gian;lang-man,yoga,gia-dinh
Chú Đại Bi,Phương Mỹ Chi,,Pop,239,songs/custom/047_chu_dai_bi.mp3,covers/songs/custom/047_chu_dai_bi.jpg,,plain,2016-02-10,0,published,0,thu-gian,yoga,cuoc-song
Nhà còn thương em mà,Phương Mỹ Chi,,Pop,272,songs/custom/048_nha_con_thuong_em_ma.mp3,covers/songs/custom/048_nha_con_thuong_em_ma.jpg,,plain,2023-09-20,0,published,0,vui-ve;thu-gian,lam-viec,gia-dinh
Và ta đã không hát như lúc xưa,Phương Mỹ Chi,,Pop,129,songs/custom/049_va_ta_da_khong_hat_nhu_luc_xua.mp3,covers/songs/custom/049_va_ta_da_khong_hat_nhu_luc_xua.jpg,,plain,2023-09-20,0,published,0,tam-trang;buon,hoc-tap,ky-uc
Ầu ơ ví dầu,Bùi Công Nam,,Pop,281,songs/custom/050_au_o_vi_dau.mp3,covers/songs/custom/050_au_o_vi_dau.jpg,,plain,2024-01-01,0,published,0,thu-gian;lang-man,ngu,gia-dinh
Cảm ơn người đã thức cùng tôi,Phùng Khánh Linh,,Pop,293,songs/custom/051_cam_on_nguoi_da_thuc_cung_toi.mp3,covers/songs/custom/051_cam_on_nguoi_da_thuc_cung_toi.jpg,,plain,2022-11-10,0,published,0,thu-gian;tam-trang,ngu,cuoc-song
Kiếm đâu bây giờ,Nguyễn Hùng,,Pop,253,songs/custom/052_kiem_dau_bay_gio.mp3,covers/songs/custom/052_kiem_dau_bay_gio.jpg,,plain,2023-05-15,0,published,0,vui-ve;energetic,chay-bo,cuoc-song
Ở trong khu rừng,Nguyễn Hùng,,Pop,310,songs/custom/053_o_trong_khu_rung.mp3,covers/songs/custom/053_o_trong_khu_rung.jpg,,plain,2023-06-20,0,published,0,thu-gian;vui-ve,yoga,cuoc-song
Còn gì đẹp hơn,Nguyễn Hùng,,Pop,282,songs/custom/054_con_gi_dep_hon.mp3,covers/songs/custom/054_con_gi_dep_hon.jpg,,plain,2023-07-25,0,published,0,vui-ve;hao-hung,lai-xe,tuoi-tre
Nỗi đau giữa hòa bình,Hòa Minzy,,Ballad,453,songs/custom/055_noi_dau_giua_hoa_binh.mp3,covers/songs/custom/055_noi_dau_giua_hoa_binh.jpg,,plain,2023-12-01,0,published,0,buon;tam-trang,lam-viec,que-huong
Mặt trời trong bóng tối,NSUT Cao Minh,,Pop,233,songs/custom/056_mat_troi_trong_bong_toi.mp3,covers/songs/custom/056_mat_troi_trong_bong_toi.jpg,,plain,2020-01-01,0,published,0,hao-hung;tam-trang,lam-viec,cuoc-song
Người gieo mầm xanh,Hứa Kim Tuyền,,Pop,264,songs/custom/057_nguoi_gieo_mam_xanh.mp3,covers/songs/custom/057_nguoi_gieo_mam_xanh.jpg,,plain,2022-05-01,0,published,0,vui-ve;thu-gian,hoc-tap,cuoc-song
Nơi pháo hoa rực rỡ,Orange,,Pop,309,songs/custom/058_noi_phao_hoa_ruc_ro.mp3,covers/songs/custom/058_noi_phao_hoa_ruc_ro.jpg,,plain,2023-12-31,0,published,0,vui-ve;lang-man,tiec-tung,tuoi-tre
Nếu một mai tôi có bay lên trời,Hứa Kim Tuyền,,Ballad,269,songs/custom/059_neu_mot_mai_toi_co_bay_len_troi.mp3,covers/songs/custom/059_neu_mot_mai_toi_co_bay_len_troi.jpg,,plain,2020-03-20,0,published,0,buon;tam-trang,thu-gian,cuoc-song
Lớn rồi còn khóc nhè,Trúc Nhân,,Pop,303,songs/custom/060_lon_roi_con_khoc_nhe.mp3,covers/songs/custom/060_lon_roi_con_khoc_nhe.jpg,,plain,2019-04-10,0,published,0,vui-ve;tam-trang,lam-viec,gia-dinh
Ước mơ của mẹ,Văn Mai Hương,,Ballad,430,songs/custom/061_uoc_mo_cua_me.mp3,covers/songs/custom/061_uoc_mo_cua_me.jpg,,plain,2022-01-15,0,published,0,buon;lang-man,thu-gian,gia-dinh
Cha già rồi đúng không,Anh Tú,,Ballad,318,songs/custom/062_cha_gia_roi_dung_khong.mp3,covers/songs/custom/062_cha_gia_roi_dung_khong.jpg,,plain,2021-03-10,0,published,0,buon;tam-trang,thu-gian,gia-dinh
Sao cha không,Phan Mạnh Quỳnh,,Pop,285,songs/custom/063_sao_cha_khong.mp3,covers/songs/custom/063_sao_cha_khong.jpg,,plain,2021-03-15,0,published,0,buon;tam-trang,lam-viec,gia-dinh
Cha già rồi đúng không,Ali Hoàng Dương,,Ballad,300,songs/custom/064_cha_gia_roi_dung_khong.mp3,covers/songs/custom/064_cha_gia_roi_dung_khong.jpg,,plain,2021-03-05,0,published,0,buon;tam-trang,thu-gian,gia-dinh
Sau lời từ khước,Phan Mạnh Quỳnh,,Ballad,262,songs/custom/065_sau_loi_tu_khuoc.mp3,covers/songs/custom/065_sau_loi_tu_khuoc.jpg,,plain,2024-02-14,0,published,0,buon;tam-trang,hoc-tap,chia-tay
Nhật kí của mẹ,Hiền Thục,,Pop,480,songs/custom/066_nhat_ki_cua_me.mp3,covers/songs/custom/066_nhat_ki_cua_me.jpg,,plain,2011-01-01,0,published,0,lang-man;thu-gian,thu-gian,gia-dinh
Phép màu,Nguyễn Hùng,,Pop,257,songs/custom/067_phep_mau.mp3,covers/songs/custom/067_phep_mau.jpg,,plain,2023-01-01,0,published,0,vui-ve;energetic,chay-bo,cuoc-song
Cảm ơn và xin lỗi,Chillies,,Pop,316,songs/custom/068_cam_on_va_xin_loi.mp3,covers/songs/custom/068_cam_on_va_xin_loi.jpg,,plain,2019-12-10,0,published,0,buon;tam-trang,lam-viec,ky-uc
Ngày hạnh phúc,Đan Trường,,Pop,217,songs/custom/069_ngay_hanh_phuc.mp3,covers/songs/custom/069_ngay_hanh_phuc.jpg,,plain,2005-01-01,0,published,0,vui-ve;lang-man,tiec-tung,tinh-yeu
Tình khúc vàng,Đan Trường,,Pop,327,songs/custom/070_tinh_khuc_vang.mp3,covers/songs/custom/070_tinh_khuc_vang.jpg,,plain,2003-05-15,0,published,0,lang-man;vui-ve,lai-xe,tinh-yeu
Đám cưới trên đường quê,Tường Nguyên,,Pop,341,songs/custom/071_dam_cuoi_tren_duong_que.mp3,covers/songs/custom/071_dam_cuoi_tren_duong_que.jpg,,plain,2010-01-01,0,published,0,vui-ve;hao-hung,tiec-tung,que-huong
Thuyền hoa,Quang Linh,,Pop,323,songs/custom/072_thuyen_hoa.mp3,covers/songs/custom/072_thuyen_hoa.jpg,,plain,2000-01-01,0,published,0,vui-ve;hao-hung,tiec-tung,que-huong
Nhất trần đời,Hoài Linh,,Pop,369,songs/custom/073_nhat_tran_doi.mp3,covers/songs/custom/073_nhat_tran_doi.jpg,,plain,2015-01-01,0,published,0,vui-ve;energetic,tiec-tung,cuoc-song
Rượu cưới ngày xuân,Hoài Linh,,Pop,372,songs/custom/074_ruou_cuoi_ngay_xuan.mp3,covers/songs/custom/074_ruou_cuoi_ngay_xuan.jpg,,plain,2014-01-01,0,published,0,vui-ve;hao-hung,tiec-tung,que-huong
Rước dâu miệt vườn,Kim Tử Long,,Pop,270,songs/custom/075_ruoc_dau_miet_vuon.mp3,covers/songs/custom/075_ruoc_dau_miet_vuon.jpg,,plain,2012-01-01,0,published,0,vui-ve;hao-hung,tiec-tung,que-huong
Ngày xuân vui cưới,Hoài Linh,,Pop,390,songs/custom/076_ngay_xuan_vui_cuoi.mp3,covers/songs/custom/076_ngay_xuan_vui_cuoi.jpg,,plain,2014-01-01,0,published,0,vui-ve;hao-hung,tiec-tung,que-huong
Đám cưới như mơ,Quang Linh,,Pop,284,songs/custom/077_dam_cuoi_nhu_mo.mp3,covers/songs/custom/077_dam_cuoi_nhu_mo.jpg,,plain,2001-01-01,0,published,0,vui-ve;energetic,tiec-tung,que-huong
